Date,Amount
2024/7/25,85629.35
2024/7/26,86772.56
2024/7/27,86772.56
2024/7/28,86772.56
2024/7/29,86588.2
2024/7/30,87114.9
2024/7/31,87573.47
2024/8/1,85905.87
2024/8/2,84139.36
2024/8/3,84139.36
2024/8/4,84139.36
2024/8/5,82382.51
2024/8/6,82633
2024/8/7,82564.55
2024/8/8,83541.14
2024/8/9,83627.78
2024/8/10,83627.78
2024/8/11,83627.78
2024/8/12,83347.26
2024/8/13,84036.69
2024/8/14,84450.66
2024/8/15,85218.43
2024/8/16,85786.2
2024/8/17,85786.2
2024/8/18,85786.2
2024/8/19,86154.7
2024/8/20,85753.58
2024/8/21,86109.14
2024/8/22,85951.88
2024/8/23,86859.1
2024/8/24,86859.1
2024/8/25,86859.1
2024/8/26,86961.49
2024/8/27,87114.86
2024/8/28,87206.55
2024/8/29,87481.23
2024/8/30,87860.78
2024/8/31,87860.78
2024/9/1,87860.78
2024/9/2,87860.78
2024/9/3,87037.64
2024/9/4,87076.88
2024/9/5,86884.73
2024/9/6,85876.13
2024/9/7,85876.13
2024/9/8,85876.13
2024/9/9,86370.2
2024/9/10,85909.84
2024/9/11,85699.13
2024/9/12,86020.46
2024/9/13,86505.34
2024/9/14,86505.34
2024/9/15,86505.34
2024/9/16,86918.71
2024/9/17,87067.39
2024/9/18,87047.24
2024/9/19,87831.8
2024/9/20,87564.51
2024/9/21,87564.51
2024/9/22,87564.51
2024/9/23,87757.92
2024/9/24,87656.11
2024/9/25,87378.29
2024/9/26,88553.83
2024/9/27,88541.39
2024/9/28,88541.39
2024/9/29,88541.39
2024/9/30,88397.55
2024/10/1,88135.1
2024/10/2,87765.38
2024/10/3,87347.6
2024/10/4,88207.51
2024/10/5,88207.51
2024/10/6,88207.51
2024/10/7,87851.1
2024/10/8,88039.72
2024/10/9,88302.49
2024/10/10,87926.85
2024/10/11,88757.81
2024/10/12,88757.81
2024/10/13,88757.81
2024/10/14,89118.26
2024/10/15,88892.18
2024/10/16,89664.8
2024/10/17,89788.3
2024/10/18,89855.72
2024/10/19,89855.72
2024/10/20,89855.72
2024/10/21,89329.45
2024/10/22,88918.45
2024/10/23,88629.63
2024/10/24,88572.69
2024/10/25,88215.06
2024/10/26,88215.06
2024/10/27,88215.06
2024/10/28,88741.85
2024/10/29,88523.25
2024/10/30,88313.8
2024/10/31,87168.6
2024/11/1,87508.44
2024/11/2,87508.44
2024/11/3,87508.44
2024/11/4,87450.55
2024/11/5,88278.99
2024/11/6,90299.62
2024/11/7,89917.04
2024/11/8,89878.89
2024/11/9,89878.89
2024/11/10,89878.89
2024/11/11,90640.69
2024/11/12,90241.99
2024/11/13,89942.06
2024/11/14,90130.54
2024/11/15,89917.09
2024/11/16,89917.09
2024/11/17,89917.09
2024/11/18,90205.42
2024/11/19,89901.03
2024/11/20,89677.25
2024/11/21,90170.48
2024/11/22,90842.12
2024/11/23,90842.12
2024/11/24,90842.12
2024/11/25,91572.35
2024/11/26,91295.14
2024/11/27,91408.21
2024/11/28,91408.21
2024/11/29,91802.85
2024/11/30,91802.85
2024/12/1,91802.85
2024/12/2,91765.8
2024/12/3,91647.27
2024/12/4,91574.18
2024/12/5,91734.86
2024/12/6,91701.69
2024/12/7,91701.69
2024/12/8,91701.69
2024/12/9,91242.75
2024/12/10,91191.63
2024/12/11,91337.55
2024/12/12,91100.13
2024/12/13,91082.37
2024/12/14,91082.37
2024/12/15,91082.37
2024/12/16,90952.61
2024/12/17,90314.25
2024/12/18,88630.79
2024/12/19,88700.28
2024/12/20,89441.55
2024/12/21,89441.55
2024/12/22,89441.55
2024/12/23,89506.67
2024/12/24,90084
2024/12/25,90084
2024/12/26,90250.47
2024/12/27,90115.01
2024/12/28,90115.01
2024/12/29,90115.01
2024/12/30,89641.68
2024/12/31,89756.98
